Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Omalotheca sylvatica,https://guides.nynhp.org/status/2.155265/,Woodland Arctic Cudweed,Dicotyledoneae (Dicots),Asterales,Asteraceae (Aster Family),G4G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/woodland-cudweed/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155265/Omalotheca_sylvatica/
Oncorhynchus gorbuscha,https://guides.nynhp.org/status/2.104110/,Pink Salmon,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,SNA,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104110/Oncorhynchus_gorbuscha/
Oncorhynchus kisutch,https://guides.nynhp.org/status/2.102595/,Coho Salmon or Silver Salmon,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,SNA,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102595/Oncorhynchus_kisutch/
Oncorhynchus mykiss,https://guides.nynhp.org/status/2.105164/,Rainbow Trout or Steelhead,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,SNA,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105164/Oncorhynchus_mykiss/
Oncorhynchus nerka,https://guides.nynhp.org/status/2.100974/,Sockeye Salmon or Kokanee,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,SNA,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100974/Oncorhynchus_nerka/
Oncorhynchus tshawytscha,https://guides.nynhp.org/status/2.102499/,Chinook Salmon or King Salmon,Actinopterygii (Ray-finned Fishes),Salmoniformes (Salmon and Trout),Salmonidae (Salmon and Trouts),G5,SNA,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102499/Oncorhynchus_tshawytscha/
Ondatra zibethicus,https://guides.nynhp.org/status/2.103944/,Muskrat,Mammalia (Mammals),Rodentia (Rodents),Cricetidae,G5,S5,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103944/Ondatra_zibethicus/
Onocosmoecus unicolor,https://guides.nynhp.org/status/2.720982/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Limnephilidae,G5?,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.720982/Onocosmoecus_unicolor/
Onychoprion anaethetus,https://guides.nynhp.org/status/2.103278/,Bridled Tern,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Laridae (Terns, Gulls and Relatives)",G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103278/Onychoprion_anaethetus/
Onychoprion fuscatus,https://guides.nynhp.org/status/2.101718/,Sooty Tern,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Laridae (Terns, Gulls and Relatives)",G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101718/Onychoprion_fuscatus/
Opeas pumilum,https://guides.nynhp.org/status/2.116801/,Dwarf Awlsnail,Gastropoda (Gastropods),Stylommatophora,Achatinidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116801/Opeas_pumilum/
Opheodrys vernalis,https://guides.nynhp.org/status/2.103123/,Smooth Green Snake,Reptilia (Reptiles),"Squamata (Lizards, Snakes and Amphisbaenians)",Colubridae (Colubrid Snakes),G5,S4,,Game with no open season,Yes,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103123/Opheodrys_vernalis/
Ophidion marginatum,https://guides.nynhp.org/status/2.104750/,Striped Cusk-eel,Actinopterygii (Ray-finned Fishes),Ophidiiformes,Ophidiidae (cuskeels),GNR,SNRN,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104750/Ophidion_marginatum/
Ophioglossum pusillum,https://guides.nynhp.org/status/2.129327/,Northern Adder's Tongue,Ophioglossopsida,Ophioglossales,Ophioglossaceae (adder's-tongue family),G4,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129327/Ophioglossum_pusillum/
Ophiogomphus anomalus,https://guides.nynhp.org/status/2.118008/,Extra-striped Snaketail,Insecta (Insects),Odonata (Dragonflies and Damselflies),Gomphidae (Clubtails),G4,S2S3,,Special Concern,Yes,Y,A,https://guides.nynhp.org/extra-striped-snaketail/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118008/Ophiogomphus_anomalus/
Ophiogomphus aspersus,https://guides.nynhp.org/status/2.108088/,Brook Snaketail,Insecta (Insects),Odonata (Dragonflies and Damselflies),Gomphidae (Clubtails),G4,S3,,,Yes,Y,A,https://guides.nynhp.org/brook-snaketail/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108088/Ophiogomphus_aspersus/
Ophiogomphus carolus,https://guides.nynhp.org/status/2.112879/,Riffle Snaketail,Insecta (Insects),Odonata (Dragonflies and Damselflies),Gomphidae (Clubtails),G5,S2S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112879/Ophiogomphus_carolus/
Ophiogomphus colubrinus,https://guides.nynhp.org/status/2.115945/,Boreal Snaketail,Insecta (Insects),Odonata (Dragonflies and Damselflies),Gomphidae (Clubtails),G5,S1,,,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115945/Ophiogomphus_colubrinus/
Ophiogomphus howei,https://guides.nynhp.org/status/2.117663/,Pygmy Snaketail,Insecta (Insects),Odonata (Dragonflies and Damselflies),Gomphidae (Clubtails),G3,S1,,Special Concern,Yes (high priority),Y,A,https://guides.nynhp.org/pygmy-snaketail/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117663/Ophiogomphus_howei/
Ophiogomphus mainensis,https://guides.nynhp.org/status/2.107824/,Maine Snaketail,Insecta (Insects),Odonata (Dragonflies and Damselflies),Gomphidae (Clubtails),G4G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107824/Ophiogomphus_mainensis/
Ophiogomphus rupinsulensis,https://guides.nynhp.org/status/2.121202/,Rusty Snaketail,Insecta (Insects),Odonata (Dragonflies and Damselflies),Gomphidae (Clubtails),G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121202/Ophiogomphus_rupinsulensis/
Oporornis agilis,https://guides.nynhp.org/status/2.101957/,Connecticut Warbler,Aves (Birds),Passeriformes (Perching Birds),Parulidae (Wood-Warblers),G4G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101957/Oporornis_agilis/
Opsanus tau,https://guides.nynhp.org/status/2.100090/,,Actinopterygii (Ray-finned Fishes),Batrachoidiformes,Batrachoididae (toadfishes),GNR,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100090/Opsanus_tau/
Opsopoeodus emiliae,https://guides.nynhp.org/status/2.106577/,Pugnose Minnow,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106577/Opsopoeodus_emiliae/
Opuntia cespitosa,https://guides.nynhp.org/status/2.982564/,Prickly Pear,Dicotyledoneae (Dicots),Caryophyllales,Cactaceae (Cactus Family),GNR,S3,,,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.982564/Opuntia_cespitosa/
Orcinus orca,https://guides.nynhp.org/status/2.105428/,Killer Whale,Mammalia (Mammals),"Cetacea (Whales, Dolphins, and Porpoises)",Delphinidae,G4G5,SNRN,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105428/Orcinus_orca/
Orconectes immunis,https://guides.nynhp.org/status/2.120402/,Calico Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120402/Orconectes_immunis/
Orconectes limosus,https://guides.nynhp.org/status/2.112939/,Spinycheek Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112939/Orconectes_limosus/
Orconectes neglectus,https://guides.nynhp.org/status/2.119078/,A Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119078/Orconectes_neglectus/
Orconectes obscurus,https://guides.nynhp.org/status/2.112938/,A Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112938/Orconectes_obscurus/
Orconectes propinquus,https://guides.nynhp.org/status/2.120784/,Northern Clearwater Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120784/Orconectes_propinquus/
Orconectes rusticus,https://guides.nynhp.org/status/2.117283/,Rusty Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117283/Orconectes_rusticus/
Orconectes virilis,https://guides.nynhp.org/status/2.112669/,Virile Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112669/Orconectes_virilis/
Oreochromis mossambicus,https://guides.nynhp.org/status/2.105769/,Mozambique Tilapia,Actinopterygii (Ray-finned Fishes),Cichliformes,Cichlidae (cichlids),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105769/Oreochromis_mossambicus/
Oreojuncus trifidus,https://guides.nynhp.org/status/2.1329268/,Highland Rush,Monocotyledoneae (Monocots),Juncales,Juncaceae (Rush Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/arctic-rush/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1329268/Oreojuncus_trifidus/
Oreoneta eskimopoint,https://guides.nynhp.org/status/2.849854/,,Arachnida (Arachnids),Araneae (Spiders),Linyphiidae,GNR,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.849854/Oreoneta_eskimopoint/
Oreoscoptes montanus,https://guides.nynhp.org/status/2.101963/,Sage Thrasher,Aves (Birds),Passeriformes (Perching Birds),Mimidae,G4,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101963/Oreoscoptes_montanus/
Oreothlypis celata,https://guides.nynhp.org/status/2.101318/,Orange-crowned Warbler,Aves (Birds),Passeriformes (Perching Birds),Parulidae (Wood-Warblers),G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101318/Oreothlypis_celata/
Oreothlypis peregrina,https://guides.nynhp.org/status/2.101955/,Tennessee Warbler,Aves (Birds),Passeriformes (Perching Birds),Parulidae (Wood-Warblers),G5,S2B,,Protected Bird,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101955/Oreothlypis_peregrina/
Oreothlypis ruficapilla,https://guides.nynhp.org/status/2.105118/,Nashville Warbler,Aves (Birds),Passeriformes (Perching Birds),Parulidae (Wood-Warblers),G5,S5B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105118/Oreothlypis_ruficapilla/
Orgyia detrita,https://guides.nynhp.org/status/2.113932/,Fir Tussock Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Erebidae,G3G4,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113932/Orgyia_detrita/
Orontium aquaticum,https://guides.nynhp.org/status/2.154604/,Golden Club,Monocotyledoneae (Monocots),Arales,Araceae (Arum Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/golden-club/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154604/Orontium_aquaticum/
Orthodes obscura,https://guides.nynhp.org/status/2.114364/,A Notodontid Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S1?,,,Yes,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114364/Orthodes_obscura/
Orthonevra nitida,https://guides.nynhp.org/status/2.950666/,,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950666/Orthonevra_nitida/
Orthonevra pictipennis,https://guides.nynhp.org/status/2.950661/,,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,GU,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950661/Orthonevra_pictipennis/
Orthonevra pulchella,https://guides.nynhp.org/status/2.950664/,,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5?,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950664/Orthonevra_pulchella/
Orthonevra weemsi,https://guides.nynhp.org/status/2.950662/,,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950662/Orthonevra_weemsi/
Orthotrichia aegerfasciella,https://guides.nynhp.org/status/2.114976/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114976/Orthotrichia_aegerfasciella/
Orthotrichia baldufi,https://guides.nynhp.org/status/2.113898/,,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113898/Orthotrichia_baldufi/
Orthotrichia cristata,https://guides.nynhp.org/status/2.116460/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116460/Orthotrichia_cristata/
Orthotrichia instabilis,https://guides.nynhp.org/status/2.113702/,Changeable Orthotrichian Microcaddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G4,S1S3,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113702/Orthotrichia_instabilis/
Orthotrichum pusillum,https://guides.nynhp.org/status/2.123519/,Small bristle moss,Bryopsida,Orthotrichales,Orthotrichaceae,G5,S2,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123519/Orthotrichum_pusillum/
Ortmanniana ligamentina,https://guides.nynhp.org/status/2.113278/,Mucket,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G5,S2,,,Yes,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113278/Ortmanniana_ligamentina/
Osmerus mordax,https://guides.nynhp.org/status/2.934507/,Rainbow Smelt,Actinopterygii (Ray-finned Fishes),Osmeriformes (Freshwater Smelts),Osmeridae (smelts),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.934507/Osmerus_mordax/
Osmia albiventris,https://guides.nynhp.org/status/2.837215/,White-bellied Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G4?,S3?,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837215/Osmia_albiventris/
Osmia albolateralis,https://guides.nynhp.org/status/2.881574/,White-sided Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.881574/Osmia_albolateralis/
Osmia atriventris,https://guides.nynhp.org/status/2.837222/,Maine Blueberry Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837222/Osmia_atriventris/
Osmia bucephala,https://guides.nynhp.org/status/2.836406/,Bufflehead Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G4,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.836406/Osmia_bucephala/
Osmia caerulescens,https://guides.nynhp.org/status/2.837230/,,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837230/Osmia_caerulescens/
Osmia calaminthae,https://guides.nynhp.org/status/2.872575/,Blue Calamintha Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G1,SU,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.872575/Osmia_calaminthae/
Osmia chalybea,https://guides.nynhp.org/status/2.837229/,A Mason bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G4G5,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837229/Osmia_chalybea/
Osmia collinsiae,https://guides.nynhp.org/status/2.837223/,Collins's Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S3?,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837223/Osmia_collinsiae/
Osmia conjuncta,https://guides.nynhp.org/status/2.837210/,Eastern Snail Shell Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S2S3,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837210/Osmia_conjuncta/
Osmia cornifrons,https://guides.nynhp.org/status/2.878958/,,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.878958/Osmia_cornifrons/
Osmia distincta,https://guides.nynhp.org/status/2.837217/,Distinct Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S3?,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837217/Osmia_distincta/
Osmia felti,https://guides.nynhp.org/status/2.837206/,Felt's Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G3,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837206/Osmia_felti/
Osmia georgica,https://guides.nynhp.org/status/2.837213/,Georgia Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S2S3,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837213/Osmia_georgica/
Osmia inermis,https://guides.nynhp.org/status/2.837225/,Unarmed Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837225/Osmia_inermis/
Osmia inspergens,https://guides.nynhp.org/status/2.837218/,Shiny-faced Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S3?,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837218/Osmia_inspergens/
Osmia laticeps,https://guides.nynhp.org/status/2.872570/,Holarctic Blueberry Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G4G5,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.872570/Osmia_laticeps/
Osmia lignaria,https://guides.nynhp.org/status/2.836398/,Blue Orchard Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.836398/Osmia_lignaria/
Osmia nigriventris,https://guides.nynhp.org/status/2.836412/,Large Black-bellied Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G4G5,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.836412/Osmia_nigriventris/
Osmia proxima,https://guides.nynhp.org/status/2.837226/,Friendly Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G4G5,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837226/Osmia_proxima/
Osmia pumila,https://guides.nynhp.org/status/2.837220/,Dwarf Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S3S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837220/Osmia_pumila/
Osmia simillima,https://guides.nynhp.org/status/2.837209/,Similar Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S1S2,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837209/Osmia_simillima/
Osmia taurus,https://guides.nynhp.org/status/2.878960/,,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.878960/Osmia_taurus/
Osmia tersula,https://guides.nynhp.org/status/2.1147319/,Wide-banded Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5?,S2,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1147319/Osmia_tersula/
Osmia texana,https://guides.nynhp.org/status/2.837214/,Texas Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G5,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837214/Osmia_texana/
Osmia virga,https://guides.nynhp.org/status/2.837228/,Twig Mason Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Megachilidae,G4,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.837228/Osmia_virga/
Ostrocerca albidipennis,https://guides.nynhp.org/status/2.114195/,,Insecta (Insects),Plecoptera (Stoneflies),Nemouridae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114195/Ostrocerca_albidipennis/
